tourney_name,Tournament,Winner,Loser,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Australian Open,Australian Open,Coric,Krajinovic,Seppi,Johnson,R32,,1st Round,,1.84,1.98,,
Australian Open,Australian Open,Raonic,Hugues,Monfils,Dzumhur,R32,,1st Round,,1.54,2.52,,
Australian Open,Australian Open,Zverev,Bolt,Nishioka,Sandgren,R32,,1st Round,,1.77,2.07,,
Australian Open,Australian Open,Nishikori,Sousa,Millman,Delbonis,R32,,1st Round,,1.24,4.12,,
Australian Open,Australian Open,Carreno,Fognini,Fritz,Norrie,R32,,1st Round,,2,1.82,,
Australian Open,Australian Open,Medvedev,Goffin,Bautista,Murray,R32,,1st Round,,1.21,4.55,,
Australian Open,Australian Open,Djokovic,Shapovalov,Cilic,Tomic,R32,,1st Round,,1.25,4,,
Australian Open,Australian Open,Nadal,Ebden,Federer,Istomin,R64,,1st Round,,1.02,14.98,,
Australian Open,Australian Open,De,Laaksonen,Fognini,Munar,R64,,1st Round,,1.45,2.79,,
Australian Open,Australian Open,Schwartzman,Kudla,Ivashka,Jaziri,R64,,1st Round,,1.42,2.88,,
Australian Open,Australian Open,Berdych,Haase,Mayer,Jarry,R64,,1st Round,,1.81,2.02,,
Australian Open,Australian Open,Fabbiano,Opelka,Nishikori,Majchrzak,R64,,1st Round,,1.02,15.25,,
Australian Open,Australian Open,Dimitrov,Cuevas,Herbert,Querrey,R64,,1st Round,,2.69,1.48,,
Australian Open,Australian Open,Seppi,Thompson,Fucsovics,Ramos-Vinolas,R64,,1st Round,,1.2,4.66,,
Australian Open,Australian Open,Tiafoe,Anderson,Harrison,Vesely,R64,,1st Round,,1.59,2.38,,
Australian Open,Australian Open,Federer,Evans,Medvedev,Harris,R64,,1st Round,,1.17,5.11,,
Australian Open,Australian Open,Fritz,Monfils,Karlovic,Hurkacz,R64,,1st Round,,1.79,2.05,,
Australian Open,Australian Open,Basilashvili,Travaglia,Coric,Darcis,R64,,1st Round,,1.16,5.37,,
Australian Open,Australian Open,Tsitsipas,Troicki,Chung,Klahn,R64,,1st Round,,1.52,2.54,,
Australian Open,Australian Open,Khachanov,Nishioka,Bolt,Sock,R64,,1st Round,,3.17,1.36,,
Australian Open,Australian Open,Bautista,Millman,Sousa,Pella,R64,,1st Round,,1.77,2.07,,
Australian Open,Australian Open,Verdasco,Albot,Carreno,Vanni,R64,,1st Round,,1.28,3.74,,
Australian Open,Australian Open,Cilic,McDonald,Donskoy,Djere,R64,,1st Round,,2,1.83,,
Australian Open,Australian Open,Popyrin,Thiem,Simon,Fratangelo,R64,,1st Round,,1.24,4.08,,
Australian Open,Australian Open,Pouille,Marterer,Zverev,Bedene,R64,,1st Round,,1.11,6.62,,
Australian Open,Australian Open,Krajinovic,Donskoy,Goffin,Garin,R64,,1st Round,,1.17,5.19,,
Australian Open,Australian Open,Coric,Fucsovics,Shapovalov,Andujar,R64,,1st Round,,1.11,6.89,,
