tourney_name,Tournament,winner_name,loser_name,Winner,Loser,round,,Round,,AvgW,AvgL,Avgoddsw,Averoddsl
Auckland,ASB Classic,Roberto Bautista Agut,Juan Martin del Potro,Bautista Agut R.,Del Potro J.M.,F,,The Final,,3.14,1.36,,
Sydney,Sydney International,John Millman,Alexei Popyrin,Lorenzi P.,Thompson J.,R32,,1st Round,,2.3,1.61,,
Sydney,Sydney International,Benoit Paire,Aljaz Bedene,Dolgopolov O.,Troicki V.,R32,,1st Round,,1.43,2.8,,
Sydney,Sydney International,Leonardo Mayer,Mischa Zverev,Dzumhur D.,Struff J.L.,R32,,1st Round,,1.91,1.88,,
Sydney,Sydney International,Feliciano Lopez,Aleksandar Vukic,Berankis R.,Bolt A.,R32,,1st Round,,1.78,2.03,,
Sydney,Sydney International,Alex De Minaur,Fernando Verdasco,Millman J.,Popyrin A.,R32,,1st Round,,1.16,5.17,,
Sydney,Sydney International,Damir Dzumhur,Jan Lennard Struff,Medvedev D.,Kohlschreiber P.,R32,,1st Round,,2.27,1.62,,
Sydney,Sydney International,Adrian Mannarino,Evgeny Donskoy,Mannarino A.,Donskoy E.,R32,,1st Round,,1.49,2.61,,
Sydney,Sydney International,Ricardas Berankis,Alex Bolt,Mayer L.,Zverev M.,R32,,1st Round,,1.96,1.83,,
Sydney,Sydney International,Alexandr Dolgopolov,Viktor Troicki,Lopez F.,Vukic A.,R32,,1st Round,,1.31,3.41,,
Sydney,Sydney International,Daniil Medvedev,Philipp Kohlschreiber,De Minaur A.,Verdasco F.,R32,,1st Round,,2.43,1.55,,
Sydney,Sydney International,Jared Donaldson,Gilles Simon,Paire B.,Bedene A.,R32,,1st Round,,2.13,1.7,,
Sydney,Sydney International,Paolo Lorenzi,Jordan Thompson,Donaldson J.,Simon G.,R32,,1st Round,,2.12,1.71,,
Sydney,Sydney International,Gilles Muller,John Millman,Mannarino A.,Berankis R.,R16,,2nd Round,,1.3,3.47,,
Sydney,Sydney International,Benoit Paire,Leonardo Mayer,Lorenzi P.,Ramos-Vinolas A.,R16,,2nd Round,,2.26,1.64,,
Sydney,Sydney International,Feliciano Lopez,Diego Schwartzman,Paire B.,Mayer L.,R16,,2nd Round,,1.87,1.94,,
Sydney,Sydney International,Alex De Minaur,Damir Dzumhur,Fognini F.,Dolgopolov O.,R16,,2nd Round,,2.67,1.47,,
Sydney,Sydney International,Adrian Mannarino,Ricardas Berankis,Medvedev D.,Donaldson J.,R16,,2nd Round,,1.81,1.99,,
Sydney,Sydney International,Fabio Fognini,Alexandr Dolgopolov,De Minaur A.,Dzumhur D.,R16,,2nd Round,,2.15,1.69,,
Sydney,Sydney International,Daniil Medvedev,Jared Donaldson,Lopez F.,Schwartzman D.,R16,,2nd Round,,2.55,1.51,,
Sydney,Sydney International,Paolo Lorenzi,Albert Ramos,Muller G.,Millman J.,R16,,2nd Round,,2.09,1.73,,
Sydney,Sydney International,Benoit Paire,Gilles Muller,Fognini F.,Mannarino A.,QF,,Quarterfinals,,2.18,1.68,,
Sydney,Sydney International,Alex De Minaur,Feliciano Lopez,Medvedev D.,Lorenzi P.,QF,,Quarterfinals,,1.53,2.5,,
Sydney,Sydney International,Fabio Fognini,Adrian Mannarino,Paire B.,Muller G.,QF,,Quarterfinals,,2.17,1.69,,
Sydney,Sydney International,Daniil Medvedev,Paolo Lorenzi,De Minaur A.,Lopez F.,QF,,Quarterfinals,,1.87,1.92,,
Sydney,Sydney International,Alex De Minaur,Benoit Paire,Medvedev D.,Fognini F.,SF,,Semifinals,,1.95,1.85,,
Sydney,Sydney International,Daniil Medvedev,Fabio Fognini,De Minaur A.,Paire B.,SF,,Semifinals,,1.81,1.99,,
Sydney,Sydney International,Daniil Medvedev,Alex De Minaur,Medvedev D.,De Minaur A.,F,,The Final,,2.17,1.68,,
Australian Open,Australian Open,Rafael Nadal,Victor Estrella,Dolgopolov O.,Haider-Maurer A.,R128,,1st Round,,1.03,13.72,,
Australian Open,Australian Open,Leonardo Mayer,Nicolas Jarry,Harrison R.,Sela D.,R128,,1st Round,,1.33,3.31,,
Australian Open,Australian Open,John Millman,Borna Coric,Edmund K.,Anderson K.,R128,,1st Round,,2.92,1.41,,
Australian Open,Australian Open,Damir Dzumhur,Paolo Lorenzi,Carreno Busta P.,Kubler J.,R128,,1st Round,,1.28,3.73,,
Australian Open,Australian Open,Diego Schwartzman,Dusan Lajovic,Cuevas P.,Youzhny M.,R128,,1st Round,,1.64,2.27,,
Australian Open,Australian Open,Casper Ruud,Quentin Halys,Istomin D.,Herbert P.H.,R128,,1st Round,,1.68,2.18,,
Australian Open,Australian Open,Alexandr Dolgopolov,Andreas Haider Maurer,Muller G.,Delbonis F.,R128,,1st Round,,1.25,3.99,,
Australian Open,Australian Open,Matthew Ebden,John Isner,Seppi A.,Moutet C.,R128,,1st Round,,1.33,3.36,,
Australian Open,Australian Open,Pablo Carreno Busta,Jason Kubler,Rublev A.,Ferrer D.,R128,,1st Round,,1.88,1.92,,
Australian Open,Australian Open,Gilles Simon,Marius Copil,Ebden M.,Isner J.,R128,,1st Round,,3.24,1.34,,
Australian Open,Australian Open,Malek Jaziri,Salvatore Caruso,Nishioka Y.,Kohlschreiber P.,R128,,1st Round,,3.55,1.3,,
Australian Open,Australian Open,Gilles Muller,Federico Delbonis,Troicki V.,Bolt A.,R128,,1st Round,,1.27,3.77,,
Australian Open,Australian Open,Pablo Cuevas,Mikhail Youzhny,Shapovalov D.,Tsitsipas S.,R128,,1st Round,,1.71,2.14,,
Australian Open,Australian Open,Ryan Harrison,Dudi Sela,Dimitrov G.,Novak D.,R128,,1st Round,,1.01,17.22,,
Australian Open,Australian Open,Joao Sousa,Dustin Brown,Schwartzman D.,Lajovic D.,R128,,1st Round,,1.26,3.9,,
Australian Open,Australian Open,Marin Cilic,Vasek Pospisil,Cilic M.,Pospisil V.,R128,,1st Round,,1.13,5.95,,
Australian Open,Australian Open,Grigor Dimitrov,Dennis Novak,Dzumhur D.,Lorenzi P.,R128,,1st Round,,1.74,2.11,,
Australian Open,Australian Open,Mackenzie McDonald,Elias Ymer,Karlovic I.,Djere L.,R128,,1st Round,,1.88,1.92,,
Australian Open,Australian Open,Marcos Baghdatis,Yuki Bhambri,Mcdonald M.,Ymer E.,R128,,1st Round,,1.91,1.89,,
Australian Open,Australian Open,Andrey Rublev,David Ferrer,Simon G.,Copil M.,R128,,1st Round,,1.38,3.07,,
Australian Open,Australian Open,Nick Kyrgios,Rogerio Dutra Silva,Sugita Y.,Sock J.,R128,,1st Round,,2.88,1.41,,
Australian Open,Australian Open,Viktor Troicki,Alex Bolt,Basilashvili N.,Melzer G.,R128,,1st Round,,1.5,2.59,,
Australian Open,Australian Open,Denis Shapovalov,Stefanos Tsitsipas,Baghdatis M.,Bhambri Y.,R128,,1st Round,,1.79,2.02,,
Australian Open,Australian Open,Jo-Wilfried Tsonga,Kevin King,Millman J.,Coric B.,R128,,1st Round,,2.09,1.73,,
Australian Open,Australian Open,Kyle Edmund,Kevin Anderson,Mayer L.,Jarry N.,R128,,1st Round,,1.43,2.81,,
Australian Open,Australian Open,Denis Istomin,Pierre Hugues Herbert,Ruud C.,Halys Q.,R128,,1st Round,,1.83,1.96,,
Australian Open,Australian Open,Nikoloz Basilashvili,Gerald Melzer,Bemelmans R.,Pouille L.,R128,,1st Round,,4.68,1.19,,
Australian Open,Australian Open,Ruben Bemelmans,Lucas Pouille,Kyrgios N.,Dutra Silva R.,R128,,1st Round,,1.02,16.22,,
Australian Open,Australian Open,Yoshihito Nishioka,Philipp Kohlschreiber,Nadal R.,Estrella Burgos V.,R128,,1st Round,,1.01,22.16,,
Australian Open,Australian Open,Andreas Seppi,Corentin Moutet,Jaziri M.,Caruso S.,R128,,1st Round,,1.77,2.05,,
Australian Open,Australian Open,Ivo Karlovic,Laslo Djere,Sousa J.,Brown D.,R128,,1st Round,,1.37,3.08,,
Australian Open,Australian Open,Yuichi Sugita,Jack Sock,Tsonga J.W.,King K.,R128,,1st Round,,1.09,7.22,,
Australian Open,Australian Open,Dominic Thiem,Guido Pella,Lacko L.,Raonic M.,R128,,1st Round,,5.17,1.16,,
Australian Open,Australian Open,Denis Kudla,Steve Johnson,Vesely J.,Safranek V.,R128,,1st Round,,1.26,3.88,,
Australian Open,Australian Open,Jiri Vesely,Vaclav Safranek,Fucsovics M.,Albot R.,R128,,1st Round,,1.44,2.8,,
Australian Open,Australian Open,Adrian Mannarino,Matteo Berrettini,Verdasco F.,Bautista Agut R.,R128,,1st Round,,2.85,1.42,,
Australian Open,Australian Open,Fernando Verdasco,Roberto Bautista Agut,Benneteau J.,Daniel T.,R128,,1st Round,,1.54,2.48,,
Australian Open,Australian Open,Maximilian Marterer,Cedrik Marcel Stebe,Mannarino A.,Berrettini M.,R128,,1st Round,,1.29,3.6,,
Australian Open,Australian Open,Tennys Sandgren,Jeremy Chardy,Kicker N.,Thompson J.,R128,,1st Round,,5.44,1.15,,
Australian Open,Australian Open,Stan Wawrinka,Ricardas Berankis,Marterer M.,Stebe C.M.,R128,,1st Round,,1.53,2.5,,
Australian Open,Australian Open,Novak Djokovic,Donald Young,Sonego L.,Haase R.,R128,,1st Round,,3.51,1.3,,
Australian Open,Australian Open,Gael Monfils,Jaume Munar,Querrey S.,Lopez F.,R128,,1st Round,,1.74,2.09,,
Australian Open,Australian Open,Tim Smyczek,Alexei Popyrin,Zverev A.,Fabbiano T.,R128,,1st Round,,1.01,17.87,,
Australian Open,Australian Open,Albert Ramos,Jared Donaldson,Goffin D.,Bachinger M.,R128,,1st Round,,1.03,13.08,,
Australian Open,Australian Open,Hyeon Chung,Mischa Zverev,Gojowczyk P.,Kukushkin M.,R128,,1st Round,,1.54,2.48,,
Australian Open,Australian Open,Daniil Medvedev,Thanasi Kokkinakis,Wawrinka S.,Berankis R.,R128,,1st Round,,1.52,2.54,,
Australian Open,Australian Open,Peter Gojowczyk,Mikhail Kukushkin,Ramos-Vinolas A.,Donaldson J.,R128,,1st Round,,2.08,1.74,,
Australian Open,Australian Open,Alexander Zverev,Thomas Fabbiano,Donskoy E.,Mayer F.,R128,,1st Round,,1.63,2.28,,
Australian Open,Australian Open,David Goffin,Matthias Bachinger,Kudla D.,Johnson S.,R128,,1st Round,,3.64,1.29,,
Australian Open,Australian Open,Julien Benneteau,Taro Daniel,Djokovic N.,Young D.,R128,,1st Round,,1.08,7.97,,
Australian Open,Australian Open,Evgeny Donskoy,Florian Mayer,Sandgren T.,Chardy J.,R128,,1st Round,,2.06,1.76,,
Australian Open,Australian Open,Fabio Fognini,Horacio Zeballos,Smyczek T.,Popyrin A.,R128,,1st Round,,1.25,3.98,,
Australian Open,Australian Open,Tomas Berdych,Alex De Minaur,Fognini F.,Zeballos H.,R128,,1st Round,,1.22,4.34,,
Australian Open,Australian Open,Guillermo Garcia Lopez,Benoit Paire,Struff J.L.,Kwon S.W.,R128,,1st Round,,1.22,4.31,,
Australian Open,Australian Open,Karen Khachanov,Peter Polansky,Medvedev D.,Kokkinakis T.,R128,,1st Round,,2.14,1.7,,
